Prowadzacy;Polowanie na Czerwony Październik;10;Rick & Morty;10;The Big Bang Theory;8;Braveheart;10;The Expanse;7;Miasteczko South Park;9;Kraina Lodu;5;Dziennik Bridget Jones;6;Kapitan Ameryka: Wojna bohaterów;3;Avengers: Czas Ultrona;2;Terminator 2;9;Planeta Singli;7;List do M.;7;List do M. 2;2;Forrest Gump;10;Ex Machina;10;Gran Torino;9;Cicha Noc;1;Battleship: Bitwa o Ziemię;1;Narodziny Gwiazdy;2;Kapitan Phillips;9;Grand Budapest Hotel;9;Wyjazd integracyjny;1;John Wick;7;Narcos;10;Terminal;8;Ona;8;Whiplash;10;Diabeł ubiera się u Prady;9;La Casa De Papel;8;;;;;;;;;;;;
autor1;Battleship: Bitwa o Ziemię;3;Rick & Morty;3;Matrix;8;Knives Out;7;Terminator;7;Terminator 2;8;Alien;8;Aliens;10;Forrest Gump;8;Władca Pierścieni: Drużyna Pierścienia;10;Władca Pierścieni: Dwie Wieże;10;Władca Pierścieni: Powrót Króla;10;Nietykalni;7;300;9;He-Man;2;Piraci z Karaibów: Klątwa Czarnej Perły;9;Robin Hood: Faceci w rajtuzach;9;Zielony rycerz;10;Avatar;3;Star Trek: Następne Pokolenie;10;Hobbit: Bitwa pięciu armii;1;Passengers;2;V jak Vendetta;8;X-men;1;Shrek;9;Shrek 2;10;Piękny Umysł;9;The Office;3;Harry Potter i Kamień Filozoficzny;2;Madagascar;8;Madagascar 2;9;Z Archiwum X;9;Mad Max: Fury Road;9;Zmierzch;2;Family Guy;3;Django;10
autor2;The Office;10;Rick & Morty;2;The Wire;8;The Legend of 1900;10;Król;6;Zielona Mila;9;Nietykalni;10;Dzień Świra;9;Bogowie;7;How I Met Your Mother;10;Dix pour cent;9;Dr House;8;List do M. 3;3;Amelia;9;Czarnobyl;7;Grand Budapest Hotel;8;Better Call Saul;8;Peaky Blinders;7;Rojst;8;V jak Vendetta;7;Harry Potter i Kamień Filozoficzny;9;Witaj w klubie;7;Zmierzch;1;Między słowami;8;Shrek;8;Trzynaście powodów;1;Belfer;7;Orange is the new black;7;Shameless;9;Arcane;9;Kogel Mogel;10;Family Guy;2;Fleabag;9;;;;;;
rodo1;Pulp Fiction;10;Lśnienie;9;365 Dni;1;Madagascar;5;Zielona Mila ;8;Django;8;Bękarty Wojny;8;Terminator ;6;Alien;4;Shrek;5;Harry Potter;5;Władca Pierścieni: Powrót Króla;10;40 latek;6;Listy do M;1;Czarnobyl ;3;Piraci z Karaibów: Klątwa Czarnej Perły;7;Jackass;6;American Pie;3;X-men;5;Shrek 2;2;Kogel Mogel;3;Gladiator;1;Enola Holmes;2;Dobry Opiekun ;3;Barbarzyńcy;1;Skazani na Shawshank;10;Forrest Gump;9;Leon Zawodowiec;7;Requiem dla Snu;6;Matrix;10;Avatar;1;;;;9;;;;;;
rodo2;Shrek;10;Shrek 2 ;10;Madagascar;10;Madagascar 2;10;Rick & Morty;10;Matrix;10;Knives Out;1;Terminator;10;Terminator 2;10;Alien;10;Aliens;10;Forrest Gump;1;Władca Pierścieni: Drużyna Pierścienia;1;Władca Pierścieni: Dwie Wieże;1;Władca Pierścieni: Powrót Króla;1;Wiedzmin;1;Czarnobyl;1;He-Man;1;Spy x Family;10;Drogówka;3;Mumia;8;Gladiator;10;Narcos;10;;;;;;;;;;;;;;;;;;;;;;;;;;
rodo3;The Matrix;10;The Ninth Gate;9;The office;8;The X Files;6;The Lord of the Rings: The Fellowship of the Ring;10;Family Guy;9;Ocean’s Eleven;8;Gremlins;2;Jurassic World Dominion;4;Con Air;7;Predator 2;7;The Girl with the Dragon Tattoo;3;Unhinged;7;The Mummy;5;The Last Samurai;8;Slow West;6;Season of the Witch;8;Skyfall;7;Constantine;10;A Cinderella Story;1;Free Guy;7;The Children Act;6;Tremors 3: Back to Perfection;2;The Guest;9;Annabelle;6;Little Big League;3;The Pianist;8;Home Alone;3;The Hangover;2;Last Days;5;Final Destination;4;Cloud Atlas;6;Gamer;7;Dead Silence;6;This is 40;2;;
rodo4;The Office;8;Piękny Umysł;10;Forrest Gump;8;Kapitan Phillips;8;Kac Wawa;1;Władca Pierścieni: Drużyna Pierścienia;8;Mr Robot;9;Hobbit;4;Futurama;7;Terminal;6;365 Dni;1;Królestwo Niebieskie;6;Sons of Anarchy;8;Joker;9;Chłopaki nie płaczą;7;Skazani na Shawshank;10;American Pie;4;Pulp Fiction;9;Władca Pierścieni: Pierścienie Władzy;2;Willow;7;Klan;2;Droga;10;Gra o Tron;7;;;;;;;;;;;;;;;;;;;;;;;;;;
rodo5;The Green Mile;8;Rick & Morty;8;Dzień Świra;10;DJANGO;8;Joker;7;Jackass;7;Futurama;9;Parasite;9;WEREWOLVES OF THE THIRD REICH;2;Life of Brian;7;Moda na sukces;1;Boże Ciało;7;Sense8;3;Scream;9;Chłopaki nie płaczą;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rodo6;Fleabag;9;Rick & Morty;8;Czarnobyl;9;Shrek;8;Madagascar 2;8;Harry Potter i Kamień Filozoficzny;7;Gra o Tron;7;Gambit królowej;9;Mandalorianin;7;365 Dni;2;Smoleńsk;1;Lucyfer;6;Wiedzmin;7;GWIEZDNE WOJNY: CZĘŚĆ III - ZEMSTA SITHÓW;9;incepcja;9;Whiplash;8;Ślepnąc od światel;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rodo7;Resident Evil;10;Avatar;6;Pingwiny z Magadaskaru;10;Terminator;7;Madmax;9;Zombielnad;6;Jestem Legenda;8;CSI Nowy York;8;NCIS;7;Władca Pierścieni;8;Dr House;7;Bez śladu;8;Zabójcze umysły;8;Zabójcze umysły: pzoa granicami;8;Zabójcze umysły: okiem sprawcy;9;Mentalista;8;Wiedźmin;8;Liberator;8;Mroczna Dzielnica;7;Liberator 2;8;Nieuchwytny;8;Na zabójczej ziemi;8;Czarny Świt;8;Człowiek Zasad;8;Wybraniec Śmierci;8;Najemnik;8;Protektor;8;Rambo I;8;Rambo 2;8;Rambo 3;8;Rocky;8;Niezniszczalni;8;Rocky 2;8;Rocky 3;7;Rambo II;8;Cobra;8
rodo8;The Office;10;Rick & Morty;9;Shrek;10;Harry Potter i Kamień Filozoficzny;10;Skazani na Shawshank;10;The Big Bang Theory;1;Planeta Singli;5;365 Dni;2;Knives Out;7;How I Met Your Mother;4;Fight Club;9;Uciekaj;8;The 100;3;Kiler;10;Peaky Blinders;1;Bojack Horseman;6;Breaking Bad;8;Naruto;10;Pulp Fiction;9;Joker;7;Zmierzch;3;Walking Dead;2;Gra o Tron;7;Vaiana: Skarb oceanu;9;Nasze magiczne Encanto;9;Shrek 2;10;;;;;;;;;;;;;;;;;;;;
rodo9;Ojciec Chrzestny;10;The Office;8;Rick & Morty;10;Joker;8;Dwunastu gniewnych ludzi ;9;365 dni;1;Kac Wawa;1;Interstellar;8;Smoleńsk;1;Kolejne 365 dni;1;Botoks;2;Uciekaj;8;Braking Bad;10;Klangor;7;Minuta ciszy;7;American Pie;3;Gran Torino;9;Atypowy;7;Chłopcy z ferajny;8;Labirynt;8;Troja;7;Obserwator;7;Uzależniona;1;Gra o Tron;8;Zmierzch;2;Rojst;8;Lśnienie;9;;;;;;;;;;;;;;;;;;
rodo10;The Office;10;Johnny ;9;Punisher;8;Lone Survivor;8;365 Dni;2;Źródło;8;Fight Club;9;The 100;6;300;7;Rick & Morty;7;Dr House;8;Arcane ;9;Lucyfer;7;Wiedzmin;7;Drogówka;5;Jackass;4;Botoks;2;Nasza Planeta;10;365 dni 2;1;Troja;8;Kogel Mogel ;1;Peaky Blinders;8;Mumia;3;X-Men;5;Gladiator;8;Breaking Bad;10;Stranger Things ;5;New Amsterdam;6;Vikings;4;Suits;9;Czarna Lista;7;Botoks;2;Turbulencje;1;Strzelec;4;Kapitan Bomba;10;Walking Dead;3
rodo11;The Office;10;Rick & Morty;3;Breaking Bad;10;Miodowe Lata;9;Shrek 2;3;Zielona Mila;9;Pingwiny z Magadaskaru;10;Titanic;3;Harry Potter ;3;365 dni;2;Kac Wawa;1;Ogniem i Mieczem;2;Smoleńsk;3;Fargo;8;Piękny umysł;8;Śmierć w Wenecji ;3;Interstellar;7;American Beauty ;8;American Pie 2 ;2;K-pax;8;Planeta Singli;2;Testosteron;1;Bulionerzy ;2;Symetria;7;Manna;8;;;;;;;;;;;;;;;;;;;;;;
rodo12;Interstellar;10;incepcja;10;przełęcz ocalonych;6;Chłopiec w pasiastej piżamie;7;21;8;Top Gun;6;Bojack Horseman;6;House of Cards;8;Stranger Things;8;Black Mirror;9;Dark;9;Dom z papieru;7;The Punisher;7;Sense8;8;Atypowy;7;Orange Is The New Black;7;Nie ma jak w rodzinie;8;Sex Education;7;Marco Polo;7;Podziemny Krąg;9;Gladiator;8;"Trzy dni w kwietniu
";3;My Mother, the Spy;2;W kręgu oszustwa;2;Winnie;4;Colpo di coda;2;Znajomy z parkingu;4;Niepohamowana furia;3;;;;;;;;;;;;;;;;
